Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P3,6,1,20,21,14,15,14
P34,7,2,25,42,33,35,18
P19,5,4,17,83,74,78,12
P21,1,5,4,108,102,107,3
P9,0,6,0,131,125,131,0
P6,4,8,13,146,134,142,9
P24,5,9,18,173,159,168,13
P4,1,6,2,185,178,184,1
P32,2,10,6,217,205,215,4
P20,8,12,31,228,208,220,23
P18,8,10,30,231,213,223,22
P12,4,11,15,250,235,246,11
P7,4,12,14,254,238,250,10
P15,3,13,7,257,241,254,4
P29,8,17,32,275,250,267,24
P27,3,16,10,277,258,274,7
P2,6,17,19,281,258,275,13
P23,3,11,9,292,278,289,6
P13,8,8,27,293,277,285,19
P33,7,16,24,309,286,302,17
P8,6,19,21,310,285,304,15
P1,5,16,16,323,302,318,11
P14,8,17,28,325,300,317,20
P35,8,9,33,346,329,338,25
P16,3,14,8,347,330,344,5
P30,7,16,23,361,338,354,16
P11,8,17,26,363,338,355,18
P17,8,16,29,364,340,356,21
P31,0,11,1,365,354,365,1
P28,3,16,11,378,359,375,8
P5,4,13,12,399,382,395,8
P26,1,12,5,401,388,400,4
P25,9,20,34,406,377,397,25
P10,1,13,3,411,397,410,2
P22,6,13,22,416,397,410,16
SUMMARY,CFS - Completely Fair Scheduler,35 processes,Avg Wait: 256.63,Avg Turn: 268.51,Avg Response: 12.14,CPU Utilization %: 100.00,Throughput: 0.0841,,
