Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P31,0,11,0,11,0,11,0
P10,1,13,11,24,10,23,10
P22,6,13,24,37,18,31,18
P26,1,12,37,49,36,48,36
P3,6,1,49,50,43,44,43
P5,4,13,50,63,46,59,46
P25,9,20,63,83,54,74,54
P28,3,16,83,99,80,96,80
P35,8,9,99,108,91,100,91
P13,8,8,108,116,100,108,100
P16,3,14,116,130,113,127,113
P30,7,16,130,146,123,139,123
P11,8,17,146,163,138,155,138
P17,8,16,163,179,155,171,155
P4,1,6,179,185,178,184,178
P23,3,11,185,196,182,193,182
P1,5,16,196,212,191,207,191
P14,8,17,212,229,204,221,204
P12,4,11,229,240,225,236,225
P33,7,16,240,256,233,249,233
P18,8,10,256,266,248,258,248
P32,2,10,266,276,264,274,264
P7,4,12,276,288,272,284,272
P15,3,13,288,301,285,298,285
P8,6,19,301,320,295,314,295
P9,0,6,320,326,320,326,320
P21,1,5,326,331,325,330,325
P27,3,16,331,347,328,344,328
P34,7,2,347,349,340,342,340
P20,8,12,349,361,341,353,341
P19,5,4,361,365,356,360,356
P2,6,17,365,382,359,376,359
P24,5,9,382,391,377,386,377
P6,4,8,391,399,387,395,387
P29,8,17,399,416,391,408,391
SUMMARY,Priority Scheduling (Higher # = Higher Priority),35 processes,Avg Wait: 203.09,Avg Turn: 214.97,Avg Response: 203.09,CPU Utilization %: 100.00,Throughput: 0.0841,,
