Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P9,0,6,0,6,0,6,0
P31,0,11,6,17,6,17,6
P4,1,6,17,23,16,22,16
P10,1,13,23,36,22,35,22
P21,1,5,36,41,35,40,35
P26,1,12,41,53,40,52,40
P32,2,10,53,63,51,61,51
P15,3,13,63,76,60,73,60
P16,3,14,76,90,73,87,73
P23,3,11,90,101,87,98,87
P27,3,16,101,117,98,114,98
P28,3,16,117,133,114,130,114
P5,4,13,133,146,129,142,129
P6,4,8,146,154,142,150,142
P7,4,12,154,166,150,162,150
P12,4,11,166,177,162,173,162
P1,5,16,177,193,172,188,172
P19,5,4,193,197,188,192,188
P24,5,9,197,206,192,201,192
P2,6,17,206,223,200,217,200
P3,6,1,223,224,217,218,217
P8,6,19,224,243,218,237,218
P22,6,13,243,256,237,250,237
P30,7,16,256,272,249,265,249
P33,7,16,272,288,265,281,265
P34,7,2,288,290,281,283,281
P11,8,17,290,307,282,299,282
P13,8,8,307,315,299,307,299
P14,8,17,315,332,307,324,307
P17,8,16,332,348,324,340,324
P18,8,10,348,358,340,350,340
P20,8,12,358,370,350,362,350
P29,8,17,370,387,362,379,362
P35,8,9,387,396,379,388,379
P25,9,20,396,416,387,407,387
SUMMARY,FCFS - First Come First Serve,35 processes,Avg Wait: 183.83,Avg Turn: 195.71,Avg Response: 183.83,CPU Utilization %: 100.00,Throughput: 0.0841,,
